nombre,formato,precio,precio_ud/Kg/L,marca,categoria,subcategoria
bebida energetica red bull,Lata 250 ml,1.59,6.36,Red Bull,agua y refrescos,isotónico y energético
bebida energetica original burn,4 latas x 500 ml,4.6,0.0092,Burn,agua y refrescos,isotónico y energético
bebida energetica original burn,Lata 500 ml,1.25,2.5,Burn,agua y refrescos,isotónico y energético
gel energetico con cafeina enervit sport sabor citricos,Caja 3 sobres (96 g),3.75,1.25,Enervit Sport,agua y refrescos,isotónico y energético
bebida energetica mango loco monster,4 latas x 500 ml,6.68,0.013359999999999999,Monster,agua y refrescos,isotónico y energético
bebida energetica mango loco monster,Lata 500 ml,1.79,3.58,Monster,agua y refrescos,isotónico y energético
bebida energetica furious energy drink hacendado,Lata 500 ml,1.0,2.0,Hacendado,agua y refrescos,isotónico y energético
malta maltin polar,6 botellines x 250 ml,6.5,0.026,Desconocida,agua y refrescos,isotónico y energético
malta maltin polar,Botellín 250 ml,1.15,4.6,Desconocida,agua y refrescos,isotónico y energético
bebida energetica zero furious hacendado energy drink,Lata 500 ml,1.0,2.0,Hacendado,agua y refrescos,isotónico y energético
bebida energetica zero katrine energy drink hacendado,Lata 500 ml,1.0,2.0,Hacendado,agua y refrescos,isotónico y energético
bebida energetica zero sunset energy drink hacendado,Lata 500 ml,1.0,2.0,Hacendado,agua y refrescos,isotónico y energético
bebida energetica zero full tropic energy drink,Lata 500 ml,1.0,2.0,Desconocida,agua y refrescos,isotónico y energético
refresco coca-cola,2 botellas x 2 L,4.0,2.0,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,Botella 2 L,2.1,1.05,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,"2 botellas x 1,25 L",2.9,2.9,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,"Botella 1,25 L",1.49,1.192,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,4 botellas x 500 ml,5.4,0.0108,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,Botella 500 ml,1.49,2.98,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,12 latas x 330 ml,10.8,0.03272727272727273,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola,Lata 330 ml,0.92,2.787878787878788,Coca-Cola,agua y refrescos,refresco de cola
refresco cola hacendado,Botella 2 L,0.75,0.375,Hacendado,agua y refrescos,refresco de cola
refresco cola hacendado,6 latas x 330 ml,1.98,0.006,Hacendado,agua y refrescos,refresco de cola
refresco cola hacendado,Lata 330 ml,0.33,1.0,Hacendado,agua y refrescos,refresco de cola
refresco coca-cola zero azucar,12 latas x 330 ml,10.8,0.03272727272727273,Coca-Cola,agua y refrescos,refresco de cola
refresco coca-cola zero azucar,Lata 330 ml,0.92,2.787878787878788,Coca-Cola,agua y refrescos,refresco de cola
