nombre,formato,precio,precio_ud/Kg/L,marca,categoria
tarrito de verduras con lentejas y jamon desde 10 meses hero baby sin gluten pack de 2 unidades de 235 g,pack de 2 unidades de 235 g,4.09,8.702127659574469,hero,bebe
papilla infantil desde 6 meses con miel nestle pijama pack de 2 unidades de 250 ml,pack de 2 unidades de 250 ml,2.65,5.3,nestle,bebe
yogur infantil petit queso fresco y frutas variadas desde 6 meses hero baby sin gluten pack de 2 unidades de 80 g,pack de 2 unidades de 80 g,3.15,19.6875,hero,bebe
toallitas para bebe delicate carrefour my baby 24 ud,24 ud,0.76,0.03166666666666667,carrefour,bebe
tarrito multifrutas ecologica carrefour baby bio desde 6 meses pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,2.85,7.125,carrefour bio,bebe
tarrito de crema de patata puerro y zanahoria desde 6 meses nutriben potitos sin gluten 235 g,235 g,1.84,7.829787234042554,nutriben,bebe
leche infantil de continuacion desde 6 meses nestle nan supreme pro 2 lata 800 g,lata 800 g,26.9,33.62499999999999,Desconocida,bebe
gel de bano y champu ricitos de oro manzanilla grisi 500 ml,500 ml,3.69,7.38,ricitos de oro,bebe
bolsita de tutti frutti nestle crazy fruits sin azucar anadido 110 g,110 g,1.36,12.363636363636365,nestle,bebe
bolsita de manzana zanahoria y mango desde 6 meses nestle sin gluten y sin azucar anadido 90 g,90 g,1.2,13.333333333333334,nestle,bebe
pack suero fisiologico senti 2 2x30 unidades monodosis 5ml,2x30 unidades,7.09,0.23633333333333334,senti 2,bebe
snack infantil desde 10 meses guisantes y maiz ecologico hero solo sin gluten 40 g,40 g,2.85,71.25,hero,bebe
tarrito de arroz con pavo y verduritas desde 10 meses ecologico cachitos smileat sin gluten 230 g,230 g,2.59,11.26086956521739,smileat,bebe
snacks de cereales con frambuesa desde 8 meses ecologico gerber sin azucar anadido 35 g,35 g,2.79,79.71428571428571,gerber,bebe
tarrito de hervido de verduras de la huerta desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
panales dodot activity t6 14 kg 44 ud,14 kg,31.4,2.242857142857143,dodot activity extra,bebe
panales dodot bebe seco xxl t3 6 10 kg 176 ud,10 kg,55.8,5.58,dodot bebe seco,bebe
preparado infantil de crecimiento peques 3 puleva sin gluten sin lactosa y sin azucares anadidos pack 3 unidades 200 ml,pack 3 unidades,2.15,0.7166666666666667,puleva,bebe
pants optima adsorption my carrefour baby t4 8  15 kg 44 ud,15 kg,9.39,0.626,carrefour baby,bebe
tarrito de pera ciruela y platano desde 4 meses ecologico smileat sin gluten 130 g,130 g,1.91,14.692307692307692,smileat,bebe
tarrito de crema de zanahoria y calabaza verduras desde 6 meses hero solo sin gluten 190 g,190 g,1.62,8.526315789473685,hero solo,bebe
ropa interior absorbente nina noche drynites 4 7 anos 17 30 kg 16 ud,30 kg,12.55,0.41833333333333333,drynites,bebe
snack chips de fresa hero kids sin gluten 12 g,12 g,2.79,232.5,hero,bebe
tarrito de arroz con pollo desde 6 meses hero solo sin gluten pack de 6 unidades de 235 g,pack de 6 unidades de 235 g,10.19,7.226950354609929,hero,bebe
tarrito de verduras con pescadilla a la crema desde 6 meses hero solo sin gluten pack de 2 unidades de 190 g,pack de 2 unidades de 190 g,2.95,7.7631578947368425,hero,bebe
snack infantil flores de lenteja y maiz desde 10 meses ecologico danone bledina sin gluten 20 g,20 g,1.25,62.5,bledina,bebe
toallitas para bebe dodot 208 ud,208 ud,5.29,0.02543269230769231,dodot,bebe
tarrito de frutas variadas y galleta desde 6 meses hero baby merienda sin aceite de palma pack de 6 unidades de 190 g,pack de 6 unidades de 190 g,9.89,8.67543859649123,hero,bebe
