nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"vino blanco albariño d.o.rias baixas 0,75 l","0,75 l",6.25,8.33,ABILLEIRA,bebidas
"vodka 0,7 l","0,7 l",15.29,21.84,ABSOLUT,bebidas
"cerveza botella cristal  pack de 6 6 x 0,25 l",6 x 0,2.15,1.43,ADLERBRAU,bebidas
cerveza botella cristal 1 l,1 l,1.05,1.05,ADLERBRAU,bebidas
"cerveza especial lata 0,33 l","lata 0,33 l",0.34,1.03,ADLERBRAU,bebidas
"cerveza lata 0,33 l","lata 0,33 l",0.31,0.94,ADLERBRAU,bebidas
"cerveza lata 0,5 l","lata 0,5 l",0.55,1.1,ADLERBRAU,bebidas
"cerveza tostada lata 0,33 l","lata 0,33 l",0.5,1.52,ADLERBRAU,bebidas
"cerveza sin alcohol lata 0,33 l","lata 0,33 l",0.36,1.09,ADLERBRAU,bebidas
"cerveza sin alcohol limon lata 0,33 l","lata 0,33 l",0.45,1.36,ADLERBRAU,bebidas
"vino rosado d.o. cigales 0,75 l","0,75 l",8.95,11.93,AIRE PROTOS,bebidas
"crema whisky 0,7 l","0,7 l",5.85,8.36,ALEMBIC,bebidas
bebida espirituosa solera 1 l,1 l,6.0,6.0,ALFONSO I,bebidas
"brandy gran reserva 0,7 l","0,7 l",10.2,14.57,ALFONSO I,bebidas
"brandy solera reserva 0,7 l","0,7 l",6.0,8.57,ALFONSO I,bebidas
"cerveza especial lata 0,33 l","lata 0,33 l",0.67,2.03,ALHAMBRA,bebidas
"cerveza lata 0,33 l","lata 0,33 l",0.75,2.27,ALHAMBRA,bebidas
"cerveza reserva 1925 botella cristal pack-6 6 x 0,33 l",6 x 0,7.98,4.03,ALHAMBRA,bebidas
"cerveza reserva 1925 lata 0,33 l","lata 0,33 l",1.27,3.85,ALHAMBRA,bebidas
"cerveza reserva roja botella cristal pack-4 4 x 0,33 l",4 x 0,5.99,4.54,ALHAMBRA,bebidas
"vino blanco verdejo d.o. rueda 0,75 l","0,75 l",2.0,2.67,ALIJARES,bebidas
"vino tinto reserva d.o. somontano 0,75 l","0,75 l",4.55,6.07,ALIUS,bebidas
"vino blanco sauvignon d.o. rueda 0,75 l","0,75 l",3.39,4.52,ALMA DE REY,bebidas
"vino blanco verdejo d.o. rueda 0,75 l","0,75 l",3.39,4.52,ALMA DEL REY,bebidas
"vino tinto crianza d.o.ribera del duero 0,75 l","0,75 l",6.99,9.32,ALT.TAMARON,bebidas
"vino tinto joven v.t. castilla y leon 0,75 l","0,75 l",3.59,4.79,ALT.TAMARON,bebidas
"vino tinto reserva d.o.ribera del duero 0,75 l","0,75 l",7.5,10.0,ALT.TAMARON,bebidas
"vino blanco semiseco region galicia 0,75 l","0,75 l",3.99,5.32,AMAR A MARES,bebidas
