codigo_producto,marca,nombre,categoria,precio_actual,precio_anterior,precio_por_unidad,promocion,patrocinado,imagen_url,producto_url,fecha_extraccion
7349397,BE PLUS,Pouche Manzana Arándano Avena 100 Gr,Infantil,"1,09 €",,"10,90 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7349397_001.jpg?t=20201004083004,https://tienda.consum.es/es/p/pouche-manzana-arandano-avena/7349397,2025-10-18 10:59:18
7231285,BE PLUS,Tarrito Frutas con Galleta 2 x 200 Gr,Infantil,"1,99 €",,"4,98 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7231285_001.jpg?t=20220423040004,https://tienda.consum.es/es/p/tarrito-frutas-con-galleta/7231285,2025-10-18 10:59:04
7391790,BE PLUS,"Tarrito Manzana, Pera, Melocotón y Plátano 2 x 200 Gr",Infantil,"1,99 €",,"4,98 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7391790_001.jpg?t=20211230040005,https://tienda.consum.es/es/p/tarrito-manzana-pera-melocoton-y-platano/7391790,2025-10-18 10:59:32
7414832,BE PLUS,Tarrito Pollo con Arroz 250 Gr,Infantil,"1,59 €",,"6,36 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414832_001.jpg?t=20250925130003,https://tienda.consum.es/es/p/tarrito-pollo-con-arroz/7414832,2025-10-18 10:59:39
7414829,BE PLUS,Tarrito de Verduras Con Merluza 250 Gr,Infantil,"1,59 €",,"6,36 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414829_001.jpg?t=20230221091501,https://tienda.consum.es/es/p/tarrito-de-verduras-con-merluza/7414829,2025-10-18 10:59:39
7414824,BE PLUS,Tarritos Verdura con Ternera 250 Gr,Infantil,"1,59 €",,"6,36 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414824_001.jpg?t=20251017091502,https://tienda.consum.es/es/p/tarritos-verdura-con-ternera/7414824,2025-10-18 10:59:39
7225027,BEL BABY,Ampollas Suero Fisiológico 30 U,Infantil,"3,25 €",,"0,11 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7225027_001.jpg?t=20240720170002,https://tienda.consum.es/es/p/ampollas-suero-fisiologico/7225027,2025-10-18 10:58:58
7236540,BEL BABY,Cambiador Bebé 60x60 10 U,Infantil,"4,15 €",,"0,42 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7236540_001.jpg?t=20201028083003,https://tienda.consum.es/es/p/cambiador-bebe-60x60/7236540,2025-10-18 10:59:04
7225030,BEL BABY,Gasas no Tejidas Ojos y Manos 100 U,Infantil,"2,00 €",,"0,02 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7225030_001.jpg?t=20201028083003,https://tienda.consum.es/es/p/gasas-no-tejidas-ojos-y-manos/7225030,2025-10-18 10:59:04
7421332,BREVIA,Toallitas Infantiles Cara y Manos 20 U,Infantil,"1,09 €",,"0,05 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7421332_001.jpg?t=20230518040002,https://tienda.consum.es/es/p/toallitas-infantiles-cara-y-manos/7421332,2025-10-18 10:59:39
7425895,CHELINO,Pañal Bebé Talla 3 De 4 a 10 Kg 36 U,Infantil,"8,75 €",,"0,24 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7425895_001.jpg?t=20230725040004,https://tienda.consum.es/es/p/panal-bebe-talla-3-de-4-a-10-kg/7425895,2025-10-18 10:59:39
7425903,CHELINO,Pañal Bebé Talla 4 de 9 a 15 Kg 34 U,Infantil,"8,75 €",,"0,26 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7425903_001.jpg?t=20240418040004,https://tienda.consum.es/es/p/panal-bebe-talla-4-de-9-a-15-kg/7425903,2025-10-18 10:59:45
